@lat,@lon,addr:housenumber,addr:street,addr:postcode
51.0685385,-113.9332340,"700, 2220",68 Street NE,T1Y 6Y7
51.1281688,-114.2006032,66,Crowfoot Terrace NW,T3G 4J8
51.1289284,-114.1986098,250,Crowfoot Crescent NW,T3G 3N5
51.0201948,-114.1705106,5662,Signal Hill Centre SW,T3H 3P8
51.1049974,-114.1883020,5720,Silver Springs Boulevard NW,T3B 4N7
51.1270023,-114.2066331,826,Crowfoot Crescent NW,T3G 4S3
51.1282440,-114.2007735,66,Crowfoot Terrace NW,T3G 4J8
51.1277343,-114.1990380,30,Crowfoot Terrace NW,T3G 4J8
51.1277870,-114.1995684,40,Crowfoot Terrace NW,T3G 4J8
51.1265353,-114.1965359,7414,Crowfoot Rd NW,T3G 3N7
51.0190913,-114.1698976,5658,Signal Hill Centre SW,T3H 3P8
51.0167988,-114.1688104,125,Stewart Green SW,T3H 3C8
51.0191234,-114.1697484,5644,Signal Hill Centre SW,T3H 3P8
51.0870238,-114.1267733,3630,Brentwood Road NW,T2L 2M6
50.9899229,-114.0693068,130,Fisher Street SE,T2H 0R9
51.1269437,-114.1391778,45,Edenwold Drive NW,T3A 3S8
51.1240036,-114.2487512,1066,Tuscany Boulevard NW,T3L 2V7
51.1249160,-114.2475920,11300,Tuscany Boulevard NW,T3L 2V7
51.1239261,-114.2486868,11300,Tuscany Boulevard NW,T3L 2V7
51.1249362,-114.2479730,11300,Tuscany Boulevard NW,T3L 2V0
51.1249362,-114.2475173,11300,Tuscany Boulevard NW,T3L 2V7
51.0190173,-114.1588350,4940,Richmond Road SW,T3E 6K4
51.0219003,-114.1417776,3805,Richmond Road SW,T3E 4P2
50.9152683,-113.9610766,53,High Street SE,T2Z 0N2
51.0204325,-114.1629225,3915,51 Street SW,T3E 6N1
51.0995191,-114.0709992,5440,4 Street NW,T2K 1A8
51.0994501,-114.0709737,5440,4 Street NW,T2K 1A8
51.0503832,-114.0622810,106,3 Avenue SE,T2G 0B6
51.0503703,-114.0624230,100,3 Avenue SE,T2G 0B7
51.1553459,-114.0563728,500,Country Hills Boulevard NE,T3K 5H2
51.0676848,-114.0630537,1721,Centre Street NW,T2E 2S3
51.1655792,-114.1292566,12432,Symons Valley Road NW,T3P 0A3
51.1653975,-114.1291060,12424,Symons Valley Road NW,T3P 0A3
51.1662570,-114.1293505,12550,Symons Valley Road NW,T3P 0A3
51.1636146,-114.1273871,#115-12294,Symons Valley Road NW,T3R 1J1
51.1619259,-114.1256624,#26-12030,Symons Valley Road NW,T1V 1M3
51.1623161,-114.1237956,#152-12024,Symons Valley Road NW,T3P 0A3
51.1616702,-114.1250401,#6-12030,Symons Valley Road NW,T3P 5H2
51.1617644,-114.1251689,#10-12030,Symons Valley Road NW,T3P 0A3
51.1618317,-114.1252655,#14-12030,Symons Valley Road NW,T3P 0A3
51.1609233,-114.1239560,12006,Symons Valley Road NW,T3P 0A3
51.1613607,-114.1245350,12012,Symons Valley Road NW,T3P 0A3
51.1610024,-114.1223686,#106 11988,Symons Valley Road NW,T3P 0A3
51.1616702,-114.1227490,12000,Symons Valley Road NW,T3P 0A3
51.1607846,-114.1223870,#114 11988,Symons Valley Road NW,T3P 0A3
51.1609233,-114.1223660,#110 11988,Symons Valley Road NW,T3P 0A3
51.1681347,-114.0896103,1110,Panatella Hill NW,T3K 0S6
51.0924989,-114.1536220,4625,Varsity Drive NW,T3A 0X9
51.0348058,-114.0420570,2016,Spiller Road SE,T2G 4G6
51.1619089,-114.1232160,12432,Symons Valley Road NW,T3P 0A3
51.1282392,-114.0705231,8282,Centre Street N,T3K 2X4
51.0526216,-114.0877844,1126,Kensington Road NW,T2N 3P3
51.0515732,-114.0944463,4,14 Street NW,T2N 1Z4
51.0554973,-114.0855104,338,3 Avenue NW,T2N 1V8
51.0754311,-114.0711726,2610,4 Street NW,T2M 3A1
51.0953495,-114.0619650,4812,Centre Street N,T2A 0S6
51.1122421,-114.0559900,6710,4 Street NE,T2K 6G9
51.1264104,-114.1390414,45,Edenwold Drive NW,T3A 3S8
51.0018570,-114.0640691,104,58 Avenue SE,T2H 0N7
50.9975199,-114.0739722,6455,Macleod Trail SW,T2H 0K3
50.9958661,-114.0738785,6455,Macleod Trail SW,T2H 0K8
50.9983134,-114.0674158,6130,1A Street SW,T2H 0G3
51.0487658,-114.0713238,444,5 Avenue SW,T2P 2T8
51.1670454,-114.0896860,1110,Panatella Boulevard NW,T3K 0S6
51.1412841,-114.0666050,9650,Harvest Hills Boulevard N,T3K 0B3
51.0375748,-114.0737690,539,17 Avenue SW,T2S 0A9
51.0423531,-114.0738500,555,5 Street SW,T2R 0C8
51.0640466,-114.0627812,1323,Centre Street N,T2E 2R5
51.0641126,-114.0631643,1323,Centre Street N,T2E 2R5
51.0759156,-113.9355876,6833,26 Avenue NE,T1Y 6M7
51.0520651,-114.0862560,1110,Memorial Drive NW,T2N 3E3
50.9980942,-114.0665574,6130,1A Street SW,T2H 0G3
50.9927634,-114.0723434,6815,Macleod Trail SW,T2H 0L5
50.9983148,-114.0673084,6130,1A Street SW,T2H 0G3
51.0445888,-114.0927550,1324,10 Avenue SW,T3C 0J2
51.0398906,-114.0820460,1403,8 Street SW,T2R 1B8
51.0417990,-114.0812740,1210,8 Street SW,T2R 1L3
51.0393767,-114.0820631,1419,8 Street SW,T2R 1B8
51.0397047,-114.0820620,1403,8 Street SW,T2R 1B8
51.1077302,-114.0412766,901,64 Avenue NE,T2E 7P4
51.0436985,-114.0807914,827,10 Avenue SW,T2R 0B4
51.0521895,-114.0887411,1147,Kensington Crescent NW,T2N 1X7
51.0497355,-114.0689600,320,4 Avenue SW,T2P 2S6
51.0416023,-114.0744063,1201,5 Street SW,T2R 0Y6
51.1269312,-114.0744456,8120,Beddington Boulevard NW,T3K 2A8
51.1274102,-114.0742950,8120,Beddington Boulevard NW,T3K 2A8
50.9636001,-114.0862160,924,Southland Drive SW,T2W 0J9
51.0751513,-113.9557629,2640,52 Street NE,T1Y 3R0
51.0443713,-114.0927718,1324,10 Avenue SW,T3C 0J2
51.0445968,-114.0923244,1324,10 Avenue SW,T3C 0J2
51.0376959,-114.0825460,915,17 Avenue SW,T2T 0A4
51.0375171,-114.0712940,1706,4 Street SW,T2S 0B0
51.0494608,-114.0717380,503,4 Avenue SW,T2P 0J7
51.2048184,-113.9928823,261055,Crossiron Boulevard,T4A 0G3
50.9780058,-114.0133773,8338,18 Street SE,T2C 4E4
51.0379984,-114.0865580,1062,17 Avenue SW,T2T 0A5
51.0379885,-114.0863130,1054,17 Avenue SW,T2T 0A5
51.0380200,-114.0871950,1110,17 Avenue SW,T2T 0B4
51.1016763,-114.1386009,3604,52 Avenue NW,T2L 1V9
51.1015233,-114.1382072,3604,52 Avenue NW,T2L 1V9
50.9923283,-114.0707516,6920,Macleod Trail SE,T2H 0L3
50.9923323,-114.0708119,6920,Macleod Trail SE,T2H 0L3
51.0955438,-114.1400800,4820,Northland Drive NW,T2L 2L3
51.0951829,-114.1400920,4820,Northland Drive NW,T2L 2L3
51.0385760,-114.2074087,110-288,Aspen Glen Landing SW,T3H 0N5
51.0613078,-113.9839630,36,36 Street NE,T2A 7X6
51.0601184,-113.9844319,3516,8 Avenue NE,T2A 6K5
51.0379426,-114.0767340,638,17 Avenue SW,T2S 0B4
51.0379400,-114.0790380,738,17 Avenue SW,T2S 0B7
51.0425081,-114.0732240,555,11 Avenue SW,T2R 1P6
51.0520458,-114.0489958,650,Meredith Road NE,T2E 5A8
51.0512400,-114.0514372,12,4 Street NE,T2E 3R5
50.9750622,-114.0709110,8726,Macleod Trail S,T2H 0M4
51.0373768,-113.9630423,4710,17 Avenue SE,T2A 0V1
51.1110370,-114.0382321,1120,64 Avenue NE,T2E 7V8
51.0487829,-114.0707758,400,5 Avenue SW,T2P 0L6
51.0373982,-114.0952538,1805,14 Street SW,T2T 3T1
51.0483468,-114.0862021,535,10 Street SW,T2P 2B8
51.0211867,-114.1361734,3519,36 Avenue SW,T3E 1C2
51.0126034,-114.1416802,4655,37 Street SW,T3E 3C8
51.0126751,-114.1416219,4655,37 Street SW,T3E 3C8
51.0377217,-114.0720160,507,17 Avenue SW,T2S 0A9
51.0392730,-114.0814990,1436,8 Street SW,T2R 1R7
51.0399030,-114.0814590,1414,8 Street SW,T2R 1J6
51.0379842,-114.0735460,534,17 Avenue SW,T2S 0B1
51.0617554,-113.9839645,1075-999,36 Street NE,T2A 2Z5
51.0849175,-114.1237707,3630,Brentwood Road NW,T2L 1K8
51.0861968,-114.1274196,3630,Brentwood Road NW,T2L 2M5
50.9615573,-114.0855586,10233,Elbow Drive SW,T2W 1E8
50.9611750,-114.0851460,10241,Elbow Drive SW,T2W 1E9
51.1512267,-114.2129594,8888,Country Hills Boulevard NW,T3G 5T0
51.1538381,-114.2167750,8888,Country Hills Boulevard NW,T3G 5T4
51.0483128,-114.0704420,505,3 Street SW,T2P 3E6
51.0726463,-114.1609912,4703,Bowness Road NW,T3B 0B5
51.0471108,-114.0583080,607,Macleod Trail SE,T2G 2M1
51.0471915,-114.0590780,219,6 Avenue SE,T2G 0G4
51.0521398,-114.0702860,225,Barclay Parade SW,T2P 5C2
51.1419764,-114.0706643,40,Country Hills Landing NW,T3K 5P4
51.0391598,-114.0888957,1502,11 Street SW,T2R 1G9
51.0379433,-114.0877940,1116,17 Avenue SW,T2T 0B4
50.9062186,-114.1132690,2335,162 Avenue SW,T2Y 4S6
51.1025482,-114.1450976,5505,Shaganappi Trail NW,T3A 1Z6
50.9053618,-114.1119969,2335,162 Avenue SW,T2Y 4S6
50.9053635,-114.1115630,2335,162 Avenue SW,T2Y 4S6
50.9011120,-114.1186640,2525,Bridlecrest Way SW,T2Y 5J4
50.9053614,-114.1119046,2335,162 Avenue SW,T2Y 4S6
50.9053616,-114.1122997,2335,162 Avenue SW,T2Y 4S6
50.9053621,-114.1122180,2335,162 Avenue SW,T2Y 4S6
50.9053614,-114.1118095,2335,162 Avenue SW,T2Y 4S6
50.9012129,-114.1185549,2525,Bridlecrest Way SW,T2Y 5J4
50.9012126,-114.1176680,2525,Bridlecrest Way SW,T2Y 5J4
50.9012125,-114.1181196,2525,Bridlecrest Way SW,T2Y 5J4
50.9012138,-114.1184024,2525,Bridlecrest Way SW,T2Y 5J4
50.9060778,-114.1109730,2335,162 Avenue SW,T2Y 4S6
50.9053621,-114.1116453,2335,162 Avenue SW,T2Y 4S6
50.9061378,-114.1109721,2335,162 Avenue SW,T2Y 4S6
50.9012120,-114.1178907,2525,Bridlecrest Way SW,T2Y 5J4
50.9012137,-114.1182553,2525,Bridlecrest Boulevard SW,T2Y 4Y1
50.9053622,-114.1121338,2335,162 Avenue SW,T2Y 4S6
51.0360221,-114.0363034,1210,20 Avenue SE,T2G 1M8
50.9904563,-114.0677229,7130,Fisher Road SE,T2H 0W3
51.0452160,-114.0653540,808,1 Street SW,T2P 1M9
51.0672277,-114.0984247,1624,16 Avenue NW,T2M 0L5
51.0442743,-114.0628134,115,9 Avenue SE,T2G 0P5
51.0488976,-114.0667651,420,2 Street SW,T2P 3K4
51.0524017,-114.0862736,1107,Kensington Road NW,T2N 3P2
51.0420345,-114.0950110,1205,14 Street SW,T3C 1C4
50.9076255,-114.1101850,"Suite 229, 2250",162 Avenue SW,T2Y 4Z9
51.0410969,-114.0557621,401,12 Avenue SE,T2G 1A5
50.9327524,-114.0673904,13226,Macleod Trail SE,T2J 7E5
51.0453289,-114.0504970,602,8 Avenue SE,T2G 0M1
51.0453858,-114.0627400,107,8 Avenue SE,T2G 0K4
51.0456918,-114.0638000,112,8 Avenue SW,T2P 1B3
51.0457034,-114.0641020,118,8 Avenue SW,T2P 1B3
51.0457197,-114.0647060,128,8 Avenue SW,T2P 1B3
51.0457737,-114.0667640,222,8 Avenue SW;Stephen Avenue,T2P 1B5
51.0486991,-114.0783932,755,5 Avenue SW,T2P 0N2
51.0471372,-114.0809129,888,7 Avenue SW,T2P 3J3
51.0477779,-114.0808640,839,6 Avenue SW,T2P 0V3
50.9644280,-114.0691553,135,Southland Drive SE,T2J 5X5
51.0789144,-113.9846100,3500,26 Avenue NE,T1Y 6J4
50.9422206,-114.0476496,755,Lake Bonavista Drive SE,T2J 0N0
51.0678961,-113.9901100,3221,Sunridge Way NE,T1Y 7M4
51.0679484,-113.9914320,3221,Sunridge Way NE,T1Y 7M4
50.9736570,-114.0699943,8906,Macleod Trail SE,T2H 0M4
51.0408774,-114.0718710,1213,4 Street SW,T2R 0X7
50.9733464,-114.0992480,1600,90 Avenue SW,T2V 5A8
50.9511316,-114.0606876,324,Anderson Road SE,T2J 2T8
50.9425199,-114.0471690,755,Lake Bonavista Drive SE,T2J 0N3
51.0464059,-114.0520815,520,7 Avenue SE,T2G 0J6
51.1641260,-113.9629306,5110,Skyview Ranch Road NE,T3N 0E4
51.1648727,-113.9625242,55,Skyview Ranch Road NE,T3N 0A6
51.1649733,-113.9623642,55,Skyview Ranch Road NE,T3N 0E4
50.9750191,-114.1194131,8415,24 Street SW,T2V 2X3
51.0482551,-114.0862646,1104,6 Avenue SW,T2P 0W2
51.1280520,-114.1965787,148,Crowfoot Gate NW,T3G 3L1
51.0771203,-114.0234374,1530,27 Avenue NE,T2E 7S6
50.9799562,-114.0685990,8228,Macleod Trail SE,T2H 2B8
51.0458730,-114.0797680,815,8 Avenue SW,T2P 3P2
51.1232588,-114.1977560,1829,Ranchlands Boulevard NW,T3G 2A7
51.1225726,-114.1969690,1829,Ranchlands Boulevard NW,T3G 2A7
51.0855924,-114.1560602,3625 Suite A013A,Shaganappi Trail NW,T3A 0E2
51.0462729,-114.0713280,751,3 Street SW,T2P 4K8
51.0659723,-114.1018931,1632,14 Avenue NW,T2N 1M7
51.0000312,-114.0740704,6455,Macleod Trail SW,T2H 0K3
50.9055952,-114.0672070,"70, Suite 228",Shawville Boulevard SE,T2Y 2Z3
51.0379534,-114.0844726,1002,17 Avenue SW,T2T 0A5
50.9517677,-114.0663703,100,Anderson Road SE,T2J 3V1
51.1246638,-113.9481800,"216, Suite 105",Saddletowne Circle NE,T3J 0C9
51.0738169,-113.9846890,"2525, suite TK24",36 Street NE,T1Y 5T4
51.0554508,-113.9787694,3800,Memorial Drive NE,T2A 2K2
51.0480473,-114.0657761,205,5 Avenue SW,T2P 2V7
51.1268501,-114.2000777,151,Crowfoot Terrace NW,T3G 4L8
51.0416651,-114.0349342,1230,9 Avenue SE,T2G 0T1
50.9617132,-114.0591674,9947,Fairmount Drive SE,T2J 0S2
50.9786186,-114.0604875,383,Heritage Drive SE,T2H 1M0
50.9784042,-114.0594950,"#201, 8330",Fairmount Drive SE,T2H 0Y8
51.0379468,-114.0690889,308,17 Avenue SW,T2S 0A8
51.1273967,-114.1955795,150,Crowfoot Crescent NW,T3G 3T2
51.1269241,-114.1983339,10,Crowfoot Terrace NW,T3G 4J8
51.0601358,-114.0540780,908,Edmonton Trail NE,T2E 3K1
51.0379558,-114.0789170,736,17 Avenue SW,T2S 0B7
51.0205175,-114.1690845,5570,Signal Hill Centre SW,T3H 3P8
51.0387981,-114.2074886,306,Aspen Glen Landing SW,T3H 0N5
51.1058568,-114.1599841,167 5005,Dalhousie Drive NW,T3A 5R8
51.1047677,-114.1615160,313 5005,Dalhousie Drive NW,T3A 5R8
51.1047074,-114.1613470,303 5005,Dalhousie Drive NW,T3A 5R8
51.1059892,-114.1633038,711 5005,Dalhousie Drive NW,T3A 5R8
51.1064787,-114.1613360,115 5005,Dalhousie Drive NW,T3A 5R8
51.1063571,-114.1610427,127 5005,Dalhousie Drive NW,T3A 5R8
51.1060740,-114.1603958,159 5005,Dalhousie Drive NW,T3A 5R8
51.1059614,-114.1601052,167 5005,Dalhousie Drive NW,T3A 5R8
51.0465435,-114.0584350,615,Macleod Trail SE,T2G 4T8
51.0464519,-114.0558770,345,6 Avenue SE,T2G 4V1
51.0509072,-114.0741856,600,3 Avenue SW,T2P 0G5
51.0437095,-114.1014165,1740,11 Avenue SW,T3C 0N4
51.0400843,-114.0942851,1402,14 Street SW,T3C 3T4
51.0402323,-114.0948846,1401,14 Street SW,T3C 1C8
51.0380126,-114.0914300,1240,17 Avenue SW,T2T 0B8
51.0468975,-114.1069569,1920,Pumphouse Road SW,T3C 3N4
51.0375889,-114.0934301,1401,17 Avenue SW,T2T 0C6
51.0228266,-114.0950029,3505,14 Street SW,T2T 3W2
51.0307000,-114.0950000,2619,14 Street SW,T2T 3T9
50.9955468,-114.0748030,6455,Macleod Trail SW,T2H 0K4
50.9884256,-114.0708190,7304,Macleod Trail S,T2H 0L8
51.0439823,-114.1400239,1002,37 Street SW,T3C 1S2
50.9686126,-114.0844246,9704,Elbow Drive SW,T2V 1M2
51.0758936,-114.0712186,2620,4 Street NW,T2M 3A1
51.1254010,-114.1877801,20,Hawkwood Drive NW,T3G 2W2
50.9982551,-113.9872781,6303,30 Street SE,T2C 1R4
51.0665605,-114.2159771,116,89 Street SW,T3H 0M4
51.0235532,-114.0444591,3413,8 Street SE,T2G 3A4
51.0408797,-114.0613570,1201,1 Street SE,T2G 2H7
51.1053203,-114.1601921,287 5005,Dalhousie Drive NW,T3A 5R8
51.1053456,-114.1602774,183 5005,Dalhousie Drive NW,T3A 5R8
51.1052538,-114.1602518,291 5005,Dalhousie Drive NW,T3A 5R8
51.1062138,-114.1606755,143 5005,Dalhousie Drive NW,T3A 5R8
51.1061163,-114.1631634,727 5005,Dalhousie Drive NW,T3A 5R8
51.1062224,-114.1631062,735 5005,Dalhousie Drive NW,T3A 5R8
51.1063247,-114.1609362,131 5005,Dalhousie Drive NW,T3A 5R8
51.1064202,-114.1611698,123 5005,Dalhousie Drive NW,T3A 5R8
51.1054243,-114.1600916,279 5005,Dalhousie Drive NW,T3A 5R8
51.1053936,-114.1601350,283 5005,Dalhousie Drive NW,T3A 5R8
51.1061354,-114.1604827,157 5005,Dalhousie Drive NW,T3A 5R8
51.1062565,-114.1607923,139 5005,Dalhousie Drive NW,T3A 5R8
51.1054875,-114.1601239,179B 5005,Dalhousie Drive NW,T3A 5R8
51.1063144,-114.1608547,135 5005,Dalhousie Drive NW,T3A 5R8
51.1060262,-114.1602844,161 5005,Dalhousie Drive NW,T3A 5R8
51.1059973,-114.1602138,163 5005,Dalhousie Drive NW,T3A 5R8
51.1055954,-114.1599998,175 5005,Dalhousie Drive NW,T3A 5R8
51.1061865,-114.1605967,151 5005,Dalhousie Drive NW,T3A 5R8
51.1055362,-114.1600563,179 5005,Dalhousie Drive NW,T3A 5R8
51.1056522,-114.1599281,173 5005,Dalhousie Drive NW,T3A 5R8
51.1061678,-114.1605506,155 5005,Dalhousie Drive NW,T3A 5R8
51.1054789,-114.1600373,275 5005,Dalhousie Drive NW,T3A 5R8
51.1060586,-114.1632692,715 5005,Dalhousie Drive NW,T3A 5R8
51.1059444,-114.1633642,707 5005,Dalhousie Drive NW,T3A 5R8
51.1050203,-114.1621983,415 5005,Dalhousie Drive NW,T3A 5R8
51.1049394,-114.1619676,405 5005,Dalhousie Drive NW,T3A 5R8
51.1049644,-114.1608314,500 5005,Dalhousie Drive NW,T3A 5R8
51.1064487,-114.1622688,5005,Dalhousie Drive NW,T3A 5R8
51.1232942,-114.1979233,1829,Ranchlands Boulevard NW,T3G 2A7
51.0413142,-114.0721260,1213,4 Street SW,T2R 0X7
51.0003678,-114.0673468,5920,1A Street SW,T2H 0G3
51.0356015,-114.0712967,1920,4 Street SW,T2S 1W3
51.0868443,-114.1262880,3630,Brentwood Boulevard NW,T2L 1K8
51.0871693,-114.1828710,6532,Bowness Road NW,T3B 0E9
51.0921275,-114.1542891,"319, 4625",Varsity Drive NW,T3A 0Z9
51.0847056,-114.2096652,8435,Bowfort Road NW,T3B 2V2
51.0998077,-114.0281147,1441,Aviation Park NE,T2E 8M7
51.1039113,-114.1657055,130 5403,Crowchild Trail NW,T3B 4Z1
51.0856939,-114.1252658,3630,Brentwood Road NW,T2L 1K8
51.0848034,-114.1257920,3517,Charleswood Drive NW,T2L 2C1
51.0850729,-114.1262640,3630,Brentwood Road NW,T2L 1K8
51.0954284,-113.9979066,20,Hopewell Way NE,T3J 5H5
51.1028821,-114.1463730,5505,Shaganappi Trail NW,T3A 1Z6
50.9639144,-114.0156419,230,Quarry Park Boulevard SE,T2C 5E4
51.1255355,-114.2078505,141,Crowfoot Way NW,T3G 4B7
51.1254996,-114.2077506,141,Crowfoot Way NW,T3G 4B7
51.1254610,-114.2076619,141,Crowfoot Way NW,T3G 4B7
51.1259448,-114.2087560,155,Crowfoot Way NW,T3G 3P7
51.1257539,-114.2090325,155,Crowfoot Way NW,T3G 3P7
51.1257401,-114.2080766,141,Crowfoot Way NW,T3G 4B7
51.1256281,-114.2082334,141,Crowfoot Way NW,T3G 4B7
51.1260794,-114.2107584,41,Crowfoot Rise NW,T3G 4P5
51.1260173,-114.2108370,37,Crowfoot Rise NW,T3G 4P5
51.1257998,-114.2110366,21,Crowfoot Rise NW,T3G 4P5
51.1259725,-114.2108866,33,Crowfoot Rise NW,T3G 4P5
51.1259254,-114.2109123,29,Crowfoot Rise NW,T3G 4P5
51.1259065,-114.2109346,29,Crowfoot Rise NW,T3G 4P5
51.1258473,-114.2109917,25,Crowfoot Rise NW,T3G 4P5
51.1257397,-114.2110971,17,Crowfoot Rise NW,T3G 4P5
51.1256030,-114.2112107,11,Crowfoot Rise NW,T3G 4P5
50.9608728,-114.1038283,1919,Southland Drive SW,T2W 0K1
51.0302316,-114.1121565,2203,26 Avenue SW,T2T 1E9
51.0370835,-114.0708803,1800,4 Street SW,T2S 2S5
51.0208906,-114.0629362,3819,Parkhill Place SW,T2S 2W6
51.0492890,-114.0005608,325,25 Street SE,T2A 7H8
51.0472282,-114.0698557,350,7 Avenue SW,T2P 3N9
51.0772679,-114.0086456,2816,21 Street NE,T2E 6Z2
51.0428958,-114.0711169,396,11 Avenue SW,T2R 0C5
51.0109862,-114.0376401,1115,48 Avenue SE,T2G 2A7
50.9524323,-113.9706417,4550,112 Avenue SE,T2C 2K2
50.9803739,-113.9842059,3516,80 Avenue SE,T2C 1J3
51.0428652,-114.0711787,396,11 Avenue SW,T2R 0C5
51.0015989,-114.0674984,222,58 Avenue SW,T2H 2S3
51.0302606,-114.1096465,2101,26 Avenue SW,T2T 1E7
51.0302811,-114.1097476,2103,26 Avenue SW,T2T 1E7
51.0302483,-114.1092390,2039,26 Avenue SW,T2T 1E5
51.0302649,-114.1091360,2037,26 Avenue SW,T2T 1E5
51.0302431,-114.1090460,2035,26 Avenue SW,T2T 1E5
51.0302674,-114.1089720,2033,26 Avenue SW,T2T 1E5
51.0235779,-114.1096305,3409,20 Street SW,T2T 4Z6
51.0238524,-114.1099666,2105,33 Avenue SW,T2T 1Z7
51.0238516,-114.1100313,2107,33 Avenue SW,T2T 1Z7
51.0238524,-114.1101051,2109,33 Avenue SW,T2T 1Z7
51.0238505,-114.1101612,2111,33 Avenue SW,T2T 1Z7
51.0428265,-114.0711203,396,11 Avenue SW,T2R 0C5
51.1384394,-113.9457577,153,Saddlecrest Way NE,T3J 5N1
51.0975065,-113.9619296,5075,Falconridge Boulevard NE,T3J 4L8
51.0238689,-114.1092770,2067,33 Avenue SW,T2T 1Z5
