DAUID,address,latitude,longitude
59170180,"1746 Davie St, Victoria, BC V8R 4W6",48.4296143,-123.3270333
59170179,"1827 Chestnut St, Victoria, BC V8R 4N6",48.4295611,-123.3324399
59170600,"1735 Denman St, Victoria, BC V8R 1Y3",48.432204,-123.331299
59170601,"1626 Gladstone Ave, Victoria, BC V8R 1S7",48.4304817,-123.3345486
59170601,"2206 Lydia St, Victoria, BC V8R 4K5",48.4318592,-123.3347409
59170601,"2320 Shakespeare St, Victoria, BC V8R 4G3",48.4333106,-123.3360226
59170174,"1434 Grant St, Victoria, BC V8R 1M5",48.4287824,-123.3407374
59170175,"1551 Gladstone Ave, Victoria, BC V8R 1S4",48.4299947,-123.3370594
59170175,"1436 Gladstone Ave, Victoria, BC V8R 1S3",48.4305578,-123.3405755
59170175,"2234 Forbes St, Victoria, BC V8R 4B4",48.4317983,-123.3388287
59170139,"1440 Taunton St, Victoria, BC V8R 1W9",48.4322176,-123.3414755
59170139,"1453 Walnut St, Victoria, BC V8R 1Y7",48.4332619,-123.3406324
59170140,"1337 Gladstone Ave, Victoria, BC V8R 1R9",48.4302388,-123.3435157
59170140,"1325 Denman St, Victoria, BC V8R 1X4",48.4325567,-123.3343295
59170143,"1284D Gladstone Ave, Victoria, BC V8T 1G6",48.4306363,-123.3479386
59170143,"1907 Chambers St, Victoria, BC V8T 3K5",48.4300452,-123.3496965
59170143,"1137 Caledonia Ave, Victoria, BC V8T 1E9",48.430189,-123.3513106
59170169,"1285 Balmoral Rd, Victoria, BC V8T 1B4",48.4275207,-123.34612
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",48.4265201,-123.3584974
59170170,"1215 Johnson St, Victoria, BC V8V 3N9",48.425416,-123.3503765
59170168,"26-1132 Johnson St, Victoria, BC V8V 3N8",48.42623997128023, -123.35187917381079
59170170,"1250 Johnson St, Victoria, BC V8V 4L4",48.4257976,-123.3488892
59170168,"1229 Pandora Ave, Victoria, BC V8V 3R3",48.4267768,-123.3487729
59170169,"1230 Balmoral Rd, Victoria, BC V8T 1B3",48.4283985,-123.3486186
59170167,"1607 Rebecca St, Victoria, BC V8T 3N3",48.4280389,-123.3515027
59170598,"1746 Adanac St, Victoria, BC V8R 2C5",48.435438,-123.3316185
59170224,"1733 Kings Rd, Victoria, BC V8R 2N9",48.4376108,-123.3310119
59170226,"2646 Scott St, Victoria, BC V8R 4H9",48.4374911,-123.3353221
59170137,"2522 Avebury Ave, Victoria, BC V8R 3V9",48.4352093,-123.3426957
59170293,"19 Marlborough St, Victoria, BC V8V 4A5",48.4083957,-123.3561245
59170292,"1125 Faithful St, Victoria, BC V8V 2R5",48.4099051,-123.3562177
59170295,"216 Vancouver St, Victoria, BC V8V 3S8",48.4133802,-123.3597491
59170290,"1017 Oliphant Ave, Victoria, BC V8V 2T9",48.4138227,-123.3581081
59170295,"1025 Sutlej St, Victoria, BC V8V 2V9",48.4145224,-123.3583805
59170286,"1030 Pendergast St, Victoria, BC V8V 2X2",48.4158571,-123.357728
59170286,"1038 Harling Ln, Victoria, BC V8V 3T6",48.4170562,-123.3575733
59170285,"1027 Collinson St, Victoria, BC V8V 3B9",48.418781,-123.3568007
59170280,"1138 McClure St, Victoria, BC V8V 3G2",48.4204982,-123.3529175
59170280,"1020 Richardson St, Victoria, BC V8V 3C5",48.4200752,-123.3566998
59170611,"950 Humboldt St, Victoria, BC V8V 2Z8",48.4182104,-123.3596363
59170611,"840 Humboldt St, Victoria, BC V8V 5B1",48.4197887,-123.3621358
59170282,"929 Burdett Ave, Victoria, BC V8V 3G6",48.4221011,-123.3652721
59170281,"1019 Rockland Ave, Victoria, BC V8V 3H6",48.4220775,-123.3561201
59170279,"1144 Rockland Ave, Victoria, BC V8V 3H7",48.4223039,-123.352641
59170165,"1144 View St, Victoria, BC V8V 3M1",48.42423896406267, -123.35159396265658
59170164,"1030 Yates St, Victoria, BC V8V 5A7",48.4255599,-123.3552285
59170163,"930 Yates St, Victoria, BC V8V 4Z3",48.4258575,-123.3580012
59170162,"1565 Vancouver St, Victoria, BC V8V 0C8",48.4310804,-123.3556684
59170162,"1028 Balmoral Rd, Victoria, BC V8T 1A8",48.4289953,-123.3544396
59170144,"1022 N Park St, Victoria, BC V8T 1C6",48.42982580923851, -123.3545421738107
59170144,"1034 Princess Ave, Victoria, BC V8T 1L1",48.4330858,-123.3539642
59170142,"1150 Queens Ave, Victoria, BC V8T 1M9",48.4337369,-123.3507113
59170141,"2412 Cedar Hill Rd, Victoria, BC V8T 3G7",48.4342494,-123.3480235
59170142,"1224 Princess Ave, Victoria, BC V8T 1L5",48.432744,-123.3485205
59170141,"1270 Denman St, Victoria, BC V8T 1L8",48.4329901,-123.3462037
59170313,"46 Pilot St, Victoria, BC V8V 2A4",48.4158081,-123.3822231
59170303,"416 Luxton Ave, Victoria, BC V8V 1C9",48.4139335,-123.378121
59170302,"548 Dallas Rd, Victoria, BC V8V 1B3",48.411373,-123.3752203
59170302,"40 Government St, Victoria, BC V8V 2K3",48.4187937,-123.3688218
59170301,"540 Rithet St, Victoria, BC V8V 1E2",48.4124793,-123.3747908
59170554,"29 Paddon Ave, Victoria, BC V8V 2M6",48.4100864,-123.3711719
59170555,"647 Niagara St, Victoria, BC V8V 1J1",48.4111508,-123.3705487
59170555,"671 Beacon St, Victoria, BC V8V 1K1",48.4117264,-123.3693086
59170300,"136 S Turner St, Victoria, BC V8V 2J8",48.4135123,-123.3722323
59170304,"132 Menzies St, Victoria, BC V8V 2G5",48.4148859,-123.3754175
59170305,"345 St James St, Victoria, BC V8V 1J7",48.4160798,-123.3778429
59170610,"440 Simcoe St, Victoria, BC V8V 1L3",48.4166504,-123.3756697
59170308,"443 Superior St, Victoria, BC V8V 4S7",48.4185051,-123.3748319
59170299,"575 Marifield Ave, Victoria, BC V8V 1N3",48.4147684,-123.3705634
59170299,"215 Government St, Victoria, BC V8V 2K8",48.4187937,-123.3688218
59170296,"235 St Andrews St, Victoria, BC V8V 2N1",48.4137671,-123.3682061
59170296,"620 Avalon Rd, Victoria, BC V8V 1N7",48.4152892,-123.3682006
59170298,"431 Powell St, Victoria, BC V8V 2J3",48.4165274,-123.3705112
59170298,"617 Government St, Victoria, BC V8V 1X6",48.4188703,-123.3684941
59170378,"707 Esquimalt Rd, Victoria, BC V9A 3L7",48.4306507,-123.392234
59170378,"230 Robert St, Victoria, BC V9A 3Z2",48.4290699,-123.3891028
59170820,"310 Robert St, Victoria, BC V9A 3Z4",48.4300644,-123.3892448
59170816,"542 Northcott Ave, Victoria, BC V9A 2V4",48.4403111,-123.3919108
59170816,"1116 Catherine St, Victoria, BC V9A 3V7",48.437011,-123.3852494
59170390,"21 Lotus St, Victoria, BC V9A 1P3",48.4424458,-123.3904523
59170389,"21 Gorge Rd E, Victoria, BC V9A 1K7",48.4434862,-123.3897635
59170390,"141 Gorge Rd E, Victoria, BC V9A 6Z3",48.4436451,-123.3880997
59170387,"3052D Washington Ave, Victoria, BC V9A 1P6",48.4443372,-123.3811497
59170817,"787 Tyee Rd #309, Victoria, BC V9A 7R5",48.43549805309857, -123.38157507381042
59170819,"70 Saghalie Rd, Victoria, BC V9A 0B8",48.4283171,-123.3798667
59170722,"19-103 Wilson St, Victoria, BC V9A 6X1",48.4326194,-123.3878541
59170723,"103 Tyee Rd, Victoria, BC",48.4353593,-123.381983
59170225,"1651 Pearl St, Victoria, BC V8R 2Z2",48.4417313,-123.3341398
59170227,"1543 Pearl St, Victoria, BC V8R 2Y8",48.4418065,-123.3369545
59170228,"1435 Myrtle Ave, Victoria, BC V8R 2Z5",48.4412131,-123.3413175
59170135,"1251 Acton St, Victoria, BC V8T 1Y1",48.4389533,-123.3465848
59170134,"2750 Mt. Stephen Ave, Victoria, BC V8T 2B3",48.4399485,-123.3482115
59170156,"1250 Vista Heights, Victoria, BC V8T 2H8",48.4420987,-123.3525327
59170156,"1345 Topaz Ave, Victoria, BC V8T 4Z2",48.443569,-123.3499622
59170132,"2933 Cedar Hill Rd, Victoria, BC V8T 3H8",48.4433642,-123.346842
59170132,"1444 Edgeware Rd, Victoria, BC V8T 2J5",48.4435035,-123.3450515
59170133,"1443 Westall Ave, Victoria, BC V8T 2G4",48.4440071,-123.3404253
59170133,"1360 Hillside Ave, Victoria, BC V8T 2B5",48.4414371,-123.3466891
59170227,"1546 Westall Ave, Victoria, BC V8T 2G7",48.4442845,-123.3403892
59170229,"1637 Burton Ave, Victoria, BC V8T 2N5",48.447125,-123.3390798
59170131,"1545 Burton Ave, Victoria, BC V8T 2N3",48.446076,-123.3421175
59170131,"2930 Gosworth Rd, Victoria, BC V8T 3C7",48.4457995,-123.3442467
59170130,"1422 Lang St, Victoria, BC V8T 2S7",48.4473548,-123.3483804
59170130,"1440 Lang St, Victoria, BC V8T 2S7",48.4472855,-123.346647
59170128,"1345 Lang St, Victoria, BC V8T 2S4",48.4465355,-123.3507945
59170128,"1120 Finlayson St, Victoria, BC V8T 2T9",48.4470023,-123.3572977
59170129,"3147 Mars St, Victoria, BC V8X 1B9",48.4486158,-123.3537239
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",48.447771,-123.3605692
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",48.4451718,-123.3587038
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",48.4445624,-123.3610361
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",48.4461919,-123.3651421
59170126,"847 Villance St, Victoria, BC V8X 2P5",48.44795,-123.3641905
59170151,"932 Market St, Victoria, BC V8T 2E9",48.4403008,-123.359547
59170152,"272 Fifth St, Victoria, BC V8T 4E8",48.4446736,-123.3593116
59170152,"2735 Fifth St, Victoria, BC V8T 4B1",48.4404812,-123.357669
59170153,"2648 Graham St, Victoria, BC V8T 3Y9",48.4390228,-123.3566372
59170146,"2555 Vancouver St, Victoria, BC V8T 4A6",48.4365892,-123.3558187
59170145,"2323 Vancouver St, Victoria, BC V8T 4A2",48.4342915,-123.3548677
59170383,"2975 Jutland Rd 1st Flr, Victoria, BC V8T 5J9",48.44049998876496, -123.37790213148135
59170383,"David St, Victoria, BC V8T 2C6",48.4386145,-123.3693672
59170383,"2519 Rock Bay Ave, Victoria, BC V8T 4R7",48.4365528,-123.368677
59170386,"254 Gorge Rd E, Victoria, BC V9A 6W4",48.4439538,-123.3802341
59170386,"491 Cecelia Rd, Victoria, BC V8T 4T4",48.4436135,-123.3770356
59170385,"3121 Steele St, Victoria, BC V8Z 3N7",48.4456869,-123.3744528
59170385,"550 Sumas St, Victoria, BC V8T 4S3",48.442997,-123.3728442
59170384,"610 Dunedin St, Victoria, BC V8T 2L8",48.4417719,-123.3720792
59170150,"723 Field St, Victoria, BC V8T 1N7",48.434674689580405, -123.36385897381038
59170149,"2620 Dowler Pl, Victoria, BC V8T 4H8",48.4339389,-123.361207
59170149,"955 Hillside Ave, Victoria, BC V8T 1Z9",48.4386479,-123.3611913
59170148,"2533 Dowler Pl, Victoria, BC V8T 4H7",48.4361949,-123.3607925
59170148,"2317 Dowler Pl, Victoria, BC V8T 4H5",48.4346972,-123.3607792
59170148,"2501 Dowler Pl, Victoria, BC V8T 4H7",48.4356042,-123.3606515
59170806,"827 Princess Ave, Victoria, BC V8T 1K7",48.4329333,-123.3600808
59170808,"933 Pembroke St, Victoria, BC V8T 1J1",48.4318926,-123.3567838
59170143,"935 Caledonia Ave, Victoria, BC V8T 1E7",48.4311126,-123.3638807
59170814,"755 Humboldt St, Victoria, BC V8W 1B1",48.4208983,-123.3651235
59170814,"850 Blanshard St, Victoria, BC V8W 2H2",48.4225083,-123.3634803
